user_id_label,product_id_label,Title,Category,predicted_rating
A106FE8HPE6LK6,6303360041,None But the Lonely Heart,Video,5.7207556
A106FE8HPE6LK6,0613100093,Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),Book,5.6886816
A106FE8HPE6LK6,0878301534,Ballroom Dancing,Book,5.6785545
A106FE8HPE6LK6,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,5.654654
A106FE8HPE6LK6,0471346608,Baby Basics : A Guide for New Parents,Book,5.6538305
A10DB0H2NZF11E,6303360041,None But the Lonely Heart,Video,7.150944
A10DB0H2NZF11E,0613100093,Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),Book,7.110852
A10DB0H2NZF11E,0878301534,Ballroom Dancing,Book,7.0981927
A10DB0H2NZF11E,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,7.068317
A10DB0H2NZF11E,0471346608,Baby Basics : A Guide for New Parents,Book,7.067288
A10EH95EUDO9W3,0533139317,Growing Millionaire Kids,Book,3.1885111
A10EH95EUDO9W3,0689846088,A Charlie Brown Christmas,Book,2.9505336
A10EH95EUDO9W3,0415157528,Colloquial Polish: The Complete Course for Beginners (Colloquial Series (Book Only)),Book,2.8850193
A10EH95EUDO9W3,1861007418,Beginning ASP.NET Databases using C#,Book,2.7065194
A10EH95EUDO9W3,1559362022,Wake Up and Smell the Coffee,Book,2.6044621
A10Q0X7V0DUJ5I,1884997015,In Quest of God: The Saga of an Extraordinary Pilgrimage,Book,6.516661
A10Q0X7V0DUJ5I,0688060676,Ten Black Dots,Book,5.990855
A10Q0X7V0DUJ5I,1573221740,Renovations: A Father and Son Rebuild a House and Rediscover Each Other,Book,5.228241
A10Q0X7V0DUJ5I,0439240751,"Double Jeopardy (T*Witches, 6)",Book,5.0665636
A10Q0X7V0DUJ5I,B000063W82,The Best of Schoolhouse Rock! - 30th Anniversary Edition,Video,4.954406
A11G8H5ONWAOUK,0878301534,Ballroom Dancing,Book,5.0261564
A11G8H5ONWAOUK,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,5.0183964
A11G8H5ONWAOUK,0590568833,How to Kill a Monster (Goosebumps),Book,5.006067
A11G8H5ONWAOUK,0786863919,Disney A to Z : The Updated Official Encyclopedia (Disney a to Z),Book,4.9865313
A11G8H5ONWAOUK,B000007R0T,Sol to Soul,Music,4.9804997
A11NH0A73VNNA6,0878301534,Ballroom Dancing,Book,6.2826953
A11NH0A73VNNA6,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,6.272996
A11NH0A73VNNA6,0590568833,How to Kill a Monster (Goosebumps),Book,6.257583
A11NH0A73VNNA6,0786863919,Disney A to Z : The Updated Official Encyclopedia (Disney a to Z),Book,6.2331634
A11NH0A73VNNA6,B000007R0T,Sol to Soul,Music,6.2256246
A11XDEU9VOOWYN,6303360041,None But the Lonely Heart,Video,7.150944
A11XDEU9VOOWYN,0613100093,Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),Book,7.110852
A11XDEU9VOOWYN,0878301534,Ballroom Dancing,Book,7.0981927
A11XDEU9VOOWYN,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,7.068317
A11XDEU9VOOWYN,0471346608,Baby Basics : A Guide for New Parents,Book,7.067288
A122FR9N2460FC,0533139317,Growing Millionaire Kids,Book,5.3041873
A122FR9N2460FC,0415157528,Colloquial Polish: The Complete Course for Beginners (Colloquial Series (Book Only)),Book,4.9274526
A122FR9N2460FC,1559362022,Wake Up and Smell the Coffee,Book,4.3247495
A122FR9N2460FC,0689846088,A Charlie Brown Christmas,Book,4.2311516
A122FR9N2460FC,1861007418,Beginning ASP.NET Databases using C#,Book,3.9397395
A1241U6QCSX5YJ,037575380X,Black No More : A Novel (Modern Library (Paperback)),Book,4.9426208
A1241U6QCSX5YJ,B00004W1WK,Still Life,Music,4.2063465
A1241U6QCSX5YJ,0618111212,Burnt Toast on Davenport Street,Book,3.9161763
A1241U6QCSX5YJ,1573221740,Renovations: A Father and Son Rebuild a House and Rediscover Each Other,Book,3.8381603
A1241U6QCSX5YJ,0810114275,Experiencing and the Creation of Meaning: A Philosophical and Psychological Approach to the Subjective (Studies in Phenomenology and Existential Philosophy),Book,3.4870133
A12MOYPCEJUGW6,0533139317,Growing Millionaire Kids,Book,3.272807
A12MOYPCEJUGW6,0849311012,Telecommunications Cost Management,Book,3.2317297
A12MOYPCEJUGW6,B0000060TP,Dink the Little Dinosaur: Shyler's Friend,Video,3.0662963
A12MOYPCEJUGW6,0393049388,Strange Fire: A Novel,Book,2.9373
A12MOYPCEJUGW6,1884997015,In Quest of God: The Saga of an Extraordinary Pilgrimage,Book,2.9104686
A13GIDVTNZQYHS,1861007418,Beginning ASP.NET Databases using C#,Book,7.5708766
A13GIDVTNZQYHS,0533139317,Growing Millionaire Kids,Book,7.460566
A13GIDVTNZQYHS,0415157528,Colloquial Polish: The Complete Course for Beginners (Colloquial Series (Book Only)),Book,7.212439
A13GIDVTNZQYHS,1571515429,Picture Me With My Friend Jesus: Girl Version (Picture Me),Book,7.1916738
A13GIDVTNZQYHS,0807205249,Junie B. Jones Collection: Books 9-12,Book,6.7777147
A13JQOKQVCMN9U,6303360041,None But the Lonely Heart,Video,7.150944
A13JQOKQVCMN9U,0613100093,Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),Book,7.110852
A13JQOKQVCMN9U,0878301534,Ballroom Dancing,Book,7.0981927
A13JQOKQVCMN9U,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,7.068317
A13JQOKQVCMN9U,0471346608,Baby Basics : A Guide for New Parents,Book,7.067288
A13JXEPCPXNUCI,6303360041,None But the Lonely Heart,Video,7.150944
A13JXEPCPXNUCI,0613100093,Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),Book,7.110852
A13JXEPCPXNUCI,0878301534,Ballroom Dancing,Book,7.0981927
A13JXEPCPXNUCI,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,7.068317
A13JXEPCPXNUCI,0471346608,Baby Basics : A Guide for New Parents,Book,7.067288
A13OWJOBS7Z90I,157281196X,Power of Flowers: An Archetypal Journey Through Nature,Book,4.9553294
A13OWJOBS7Z90I,059047913X,You Can Name 100 Dinosaurs!,Book,3.799198
A13OWJOBS7Z90I,078510870X,Ultimate Marvel Team-Up,Book,3.3117933
A13OWJOBS7Z90I,0807205249,Junie B. Jones Collection: Books 9-12,Book,3.308859
A13OWJOBS7Z90I,B00004W1WK,Still Life,Music,3.0561054
A13PAFCVMB1DV8,6303360041,None But the Lonely Heart,Video,4.2905674
A13PAFCVMB1DV8,0613100093,Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),Book,4.266511
A13PAFCVMB1DV8,0878301534,Ballroom Dancing,Book,4.2589164
A13PAFCVMB1DV8,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,4.24099
A13PAFCVMB1DV8,0471346608,Baby Basics : A Guide for New Parents,Book,4.2403727
A13PCJSIRWAKHE,6303360041,None But the Lonely Heart,Video,7.150944
A13PCJSIRWAKHE,0613100093,Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),Book,7.110852
A13PCJSIRWAKHE,0878301534,Ballroom Dancing,Book,7.0981927
A13PCJSIRWAKHE,0966723821,Historia De Cancer De Una Dietista : Informacion & Inspiracion para la Recuperacion & Curacion Sobreviviente de tres canceres,Book,7.068317
A13PCJSIRWAKHE,0471346608,Baby Basics : A Guide for New Parents,Book,7.067288
A13SG9ACZ9O5IM,0738700797,Candlemas: Feast of Flames,Book,4.9383826
A13SG9ACZ9O5IM,1590770218,"Fantastic Food with Splenda : 160 Great Recipes for Meals Low in Sugar, Carbohydrates, Fat, and Calories",Book,4.4625177
A13SG9ACZ9O5IM,0875420532,Secrets of Gypsy Love Magick (Llewellyn's New Age Series),Book,4.308178
A13SG9ACZ9O5IM,0195110382,War at Sea: A Naval History of World War II,Book,3.78789
A13SG9ACZ9O5IM,0944708498,Baby Boomer Retirement: 65 Simple Ways to Protect Your Future,Book,3.7734761
A1479ANRVVH4JZ,059047913X,You Can Name 100 Dinosaurs!,Book,4.956199
A1479ANRVVH4JZ,0807205249,Junie B. Jones Collection: Books 9-12,Book,4.3217874
A1479ANRVVH4JZ,157281196X,Power of Flowers: An Archetypal Journey Through Nature,Book,3.7251978
A1479ANRVVH4JZ,1571515429,Picture Me With My Friend Jesus: Girl Version (Picture Me),Book,2.7582834
A1479ANRVVH4JZ,078510870X,Ultimate Marvel Team-Up,Book,2.6934488
A14AFQJCUQ2YOY,1861007418,Beginning ASP.NET Databases using C#,Book,7.5708766
A14AFQJCUQ2YOY,0533139317,Growing Millionaire Kids,Book,7.460566
A14AFQJCUQ2YOY,0415157528,Colloquial Polish: The Complete Course for Beginners (Colloquial Series (Book Only)),Book,7.212439
A14AFQJCUQ2YOY,1571515429,Picture Me With My Friend Jesus: Girl Version (Picture Me),Book,7.1916738
A14AFQJCUQ2YOY,0807205249,Junie B. Jones Collection: Books 9-12,Book,6.7777147
